"Name","Count"
"lest","13"
"beat","13"
"heads","13"
"account","13"
"sacked","13"
"kissed","13"
"valiant","13"
"sandals","13"
"posts","13"
"past","13"
"visit","13"
"Eurylochus","13"
"daughters","13"
"hither","13"
"fate","13"
"counsel","13"
"beach","13"
"bath","13"
"immortals","13"
"tree","13"
"Nausicaa","13"
"banquet","13"
"grow","13"
"fond","13"
"lyre","13"
"standing","13"
"'You","13"
"fit","13"
"stream","13"
"beggar","13"
"race","13"
"grown","13"
"shoulder","13"
"sorrows","13"
"feasting","13"
"ought","13"
"lose","13"
"hospitality","13"
"thence","13"
"pleasure","13"
"seems","13"
"Irus","13"
"forced","13"
"sign","13"
"mine","13"
"upper","13"
"Cyclops","13"
"Arete","13"
"speaking","13"
"inner","12"
"presence","12"
"creature","12"
"speech","12"
"Neleus","12"
"huge","12"
"minded","12"
"dressed","12"
"unless","12"
"Cyclopes","12"
"abode","12"
"waggon","12"
"heed","12"
"Crete","12"
"pity","12"
"forget","12"
"foremost","12"
"insolent","12"
"ourselves","12"
"spoken","12"
"spread","12"
"charge","12"
"alas","12"
"wealth","12"
"drinking","12"
"journey","12"
"beg","12"
"Olympus","12"
"showed","12"
"shoot","12"
"cold","12"
"North","12"
"seven","12"
"pair","12"
"please","12"
"next","12"
"picked","12"
"wedding","12"
"benches","12"
"knows","12"
"stronger","12"
"post","12"
"abundance","12"
"horse","12"
"Dulichium","12"
"hidden","12"
"plenty","12"
"warm","12"
"asleep","12"
"washing","12"
"tale","12"
"sad","12"
"pass","12"
"beyond","12"
"luck","12"
"wear","12"
"grieve","12"
"Philoetius","11"
"ears","11"
"courage","11"
"stop","11"
"low","11"
"setting","11"
"staff","11"
"meant","11"
"keeping","11"
"gate","11"
"closed","11"
"paid","11"
"air","11"
"borne","11"
"choose","11"
"desire","11"
"yard","11"
"Polybus","11"
"companions","11"
"treated","11"
"Dolius","11"
"business","11"
"lovely","11"
"thereon","11"
"forth","11"
"shouted","11"
"floor","11"
"noise","11"
"linen","11"
"hardship","11"
"birds","11"
"spits","11"
"roof","11"
"instead","11"
"deed","11"
"shield","11"
"treat","11"
"Lacedaemon","11"
"lion","11"
"furious","11"
"prayers","11"
"escaped","11"
"tables","11"
"bowls","11"
"Medon","11"
"belly","11"
"mules","11"
"deemed","11"
"particularly","11"
"anointed","11"
"hecatombs","11"
"'I","11"
"gates","11"
"believe","11"
"hut","11"
"happen","11"
"gives","11"
"terrible","11"
"chest","11"
"grey","11"
"short","11"
"Egypt","11"
"brothers","11"
"hero","11"
"kinds","11"
"wives","11"
"ways","11"
"asking","11"
"happy","11"
"heroes","11"
"money","11"
"dream","11"
"master's","11"
"council","10"
"suffering","10"
"speed","10"
"ashamed","10"
"share","10"
"women's","10"
"orders","10"
"seas","10"
"hospitably","10"
"carrying","10"
"heavily","10"
"ox","10"
"quarrel","10"
"saved","10"
"gatehouse","10"
"brother","10"
"misfortunes","10"
"immediately","10"
"completed","10"
"loosed","10"
"driving","10"
"cross","10"
"waited","10"
"Theoclymenus","10"
"monster","10"
"rate","10"
"anger","10"
"attend","10"
"couch","10"
"savage","10"
"Amphinomus","10"
"lord","10"
"feed","10"
"drank","10"
"endowed","10"
"learn","10"
"turning","10"
"plot","10"
"station","10"
"soft","10"
"Proserpine","10"
"remain","10"
"Circe's","10"
"driven","10"
"hurried","10"
"heavens","10"
"fury","10"
"dust","10"
"seemed","10"
"received","10"
"meet","10"
"ate","10"
"road","10"
"dropped","10"
"Peleus","10"
"cups","10"
"quick","10"
"finished","10"
"Icarius","10"
"song","10"
"labour","10"
"human","10"
"food","10"
"sang","10"
"rule","10"
"folly","10"
"forest","10"
"deeds","10"
"lit","10"
"meantime","10"
"flesh","10"
"Eurynome","10"
"hearth","10"
"wand","10"
"stones","10"
"yards","10"
"Achaean","10"
"smoke","10"
"loaded","10"
"often","10"
"divine","10"
"Danaans","10"
"reasonable","10"
"beneath","10"
"around","10"
"died","10"
"expect","10"
"dare","9"
"Furthermore","9"
"honoured","9"
"mercy","9"
"throwing","9"
"dancing","9"
"displeased","9"
